geocode	commune	pop1950	pop1960	pop1970	pop1980	pop1990	pop1995	pop2000	pop2005	pop2010	pop2014	pop2015	pop2016	etbl14	s1_etbl14	s2_etbl14	s3_etbl14	etp14	s1_etp14	s2_etp14	s3_etp14
5401	Aigle	4248	4367	6461	6249	7394	7708	7533	7988	9084	9771	9757	9740	824	45	141	638	4919.887886	176.7237277	1331.125215	3412.038944
5402	Bex	4787	4767	5049	4758	5229	5588	5563	5974	6414	7007	7236	7424	517	50	101	366	2029.879737	108.9383025	732.0180891	1188.923346
5403	Chessel	200	201	190	200	227	302	314	342	346	362	396	395	26	15	2	9	72.1263205	55.8376605	2.2843721	14.0042879
5404	Corbeyrier	256	245	259	255	318	327	326	359	391	421	433	440	25	4	4	17	76.4188975	8.25	5.6807625	62.488135
5405	Gryon	729	707	709	819	970	1063	1044	1124	1192	1248	1265	1342	126	7	21	98	292.4417256	6.25	85.5823371	200.6093885
5406	Lavey-Morcles	865	865	749	741	859	892	793	813	864	885	907	922	42	4	13	25	255.5666934	6.25	62.7606412	186.5560522
5407	Leysin	5275	2670	3544	2054	2380	2718	2754	3209	3744	4050	4148	4088	211	12	21	178	1196.640981	29.3149075	113.8783929	1053.447681
5408	Noville	455	449	434	444	532	574	632	652	690	971	1029	1056	87	18	14	55	340.1020723	73.8376605	75.4664196	190.7979922
5409	Ollon	4197	4393	4775	4735	5444	6038	6201	6536	6988	7152	7419	7473	528	62	58	408	1981.959364	148.9499999	225.6067213	1607.402643
5410	Ormont-Dessous	1280	1002	878	893	878	969	956	1031	1020	1072	1119	1105	115	38	18	59	218.7653331	52.5876605	34.9469384	131.2307342
5411	Ormont-Dessus	1002	870	1251	1028	1134	1285	1363	1431	1459	1457	1481	1479	198	22	33	143	559.9246896	36.025963	107.3151246	416.583602
5412	Rennaz	223	192	224	223	351	540	554	608	662	802	843	843	55	4	7	44	431.9639957	6.75	46.0671825	379.1468132
5413	Roche	736	691	815	799	880	906	875	894	1001	1499	1507	1597	87	11	23	53	445.4061086	26.95	255.2145774	163.2415312
5414	Villeneuve	1979	2343	3686	3548	3872	3965	4002	4336	4799	5188	5428	5457	387	12	77	298	2455.486733	26.3376605	1006.840294	1422.308779
5415	Yvorne	768	764	788	823	955	1017	962	920	989	1039	1032	1061	109	32	17	60	357.8734659	135.85	41.4854567	180.5380092
5421	Apples	583	549	647	833	997	1044	1129	1157	1257	1341	1363	1412	109	18	13	78	319.6348561	47.75	69.8366842	202.0481719
